id,name,telnum,website,contact,descript
1,First United Tabernacle Church,9736784042,http://www.futim.org,
2,ADAPT- The Essex Prevention Coalition,9736772500,essexadapt.org,vjoseph@familyconnectionsnj.org
3,American Friends Service,9736431924,http://www.afsc.org/office/newark-nj,Ms. Miller at NMiller@afsc.org
4,Arts Unbound,9736752787,http://www.artsunbound.org/,"info@artsunbound.org, Margaret Mikkelsen, Executive Director"
5,ARTSECT,9736993269,http://artsetcnow.org/index.html, info@artsetcnow.org 
6,ASun Star Consulting,9173048982,http://www.asunstar.org/home.html,Nicki Alston (917-304-8982) asunstarconsulting@gmail.com
7,Bank of America ,9736768800,bankofamerica.com,
8,Bethel Baptist Church,9736758060,http://bethelbaptistorange.org,bethelbaptistorangenj@gmail.com
9,Bible Way Church of God in Christ,9736730505,http://biblewaynj.org/,Pastor Jeffrey Parks parjeffsan@aol.com
10,Boys & Girls Club of America,9737367712,http://www.bgca.org/Pages/index.aspx?lp=search&utm_source=google&utm_medium=cpc&utm_term=boys%20and%20girls%20of%20america&utm_campaign=grants,Jim Clark
11,C-Town Supermarket ,9736722244,www.ctownsupermarket.com, 973.672.2244
12,Cantera Latina Restaurant,9733230001,http://www.canteralatinaorange.com/,
13,Church of Epiphany ,9736768886,www.christchurcheo.org,(973) 678-1160
14,Church of Our Lady Mt. Carmel,9736742052,http://olmcorange.com/,"(973) 674-2052, secolmc@gmail.com "
15,Church of the Oranges ,9736781951,http://cotosda.org,973-678-1951
16,City of Orange Public Health ,9732664077,www.ci.orange.nj.us,Priscilla Webb (pwebb@ci.orange.nj.us)
17,Community Day Nursery ,9736733710,http://www.cdneo.com/,info@cdneo.com
18,Cotton Funeral Services,9736756400,http://cottonfuneralsvc.com/,mtc@cottonfuneralservice.com
19,CPNJ,9736743267,http://cpnj.org/about-us/,dbishop@cpnj.org
20,Department of Community Service: Division of Recreation  ,9732664071,www.ci.orange.nj.us,
21,Department of Public Works ,9732664030,www.ci.orange.nj.us,Marty Mayes (973) 266-4030)
22,Disabled American Veterans of New Jersey ,9736733100,http://www.davnj.org/,
23,Don Bosco Residence ,9736742400,,"Steve Demais, 973-674-7500"
24,Easy Pickins ,9736768811,,
25,Essex Pediatrics,9736721212,,Rosario Zambrano MD
26,Family Connections,9736740172,http://www.familyconnectionsnj.org/ourprograms2.html,
27,Family Connections,9736753817,www.familyconnectionsnj.org,(973) 675-3817
28,Family Connections Administrative Office,9736753817,http://www.familyconnectionsnj.org,cryan@familyconnectionsnj.org
29,Family Intervention Services ,9733247879,http://www.fisnj.org/,
30,Firehouse Gallery ,8622527035,http://www.valleyartsnj.com/firehouse/,info@valleyartsnj.com
31,First Unitarian Universalist Church of Essex County,9736740010,http://essexuu.org,"Gregory Giacobe, 9736740010"
32,Gladiators Boxing & Barbells,9734169595,https://www.facebook.com/Gladiator-Boxing-BarBell-113291772029215/,
33,Golden Krust,9736727080,http://www.goldenkrustbakery.com/,
34,"HANDS, Inc.",9736783110,http://www.handsinc.org/home.html,info@handsinc.org
35,Harambee Family Academy,9736755000,http://www.harambeecdi.org/,"Wendy Burkins, 973-675-4411"
36,Hat City Kitchen ,8622529147,http://www.hatcitykitchen.com,(862) 252-9147
37,Health and Wellness Series ,9736774000,www.ocshealthcenter.org,Cilamene Joseph: 973-677-4000
38,HomeCorp,9737444141,homecorp.org,Victoria Lindsey vlindsey@homecorp.org
39,Homeless Prevention Program,9732668693,http://www.state.nj.us/dca/divisions/dhcr/offices/hpp.html,
