id,name,telnum,website,contact,descript,lat,lon,street,city,state,zip
1,First United Tabernacle Church,9736784042,http://www.futim.org, , ,40.76585,-74.246015,425 South Jefferson Street,Orange,NJ,07050
2,ADAPT- The Essex Prevention Coalition,9736772500,essexadapt.org,vjoseph@familyconnectionsnj.org, ,40.769978,-74.237805,170 Scotland Road,Orange,NJ,07050
3,American Friends Service,9736431924,http://www.afsc.org/office/newark-nj,Ms. Miller at NMiller@afsc.org, ,40.736881,-74.175237,89 Market Street 6th Floor,Newark,NJ,07102
4,Arts Unbound,9736752787,http://www.artsunbound.org/,info@artsunbound.org Margaret Mikkelsen Executive Director, ,40.766269,-74.244933,542 Freeman Street,Orange,NJ,07050
5,ARTSECT,9736993269,http://artsetcnow.org/index.html, info@artsetcnow.org , ,40.766225,-74.244819,540B Freeman Street,Orange,NJ,07050
6,ASun Star Consulting,9173048982,http://www.asunstar.org/home.html,Nicki Alston 917-304-8982 asunstarconsulting@gmail.com, ,40.766456,-74.243161,350 Scotland Rd,Orange,NJ,07050
7,Bank of America ,9736768800,bankofamerica.com, , ,40.774015,-74.233626,425 Main Street,Orange,NJ,07050
8,Bethel Baptist Church,9736758060,http://bethelbaptistorange.org,bethelbaptistorangenj@gmail.com, ,40.77418,-74.225628,229 Wallace street,Orange,NJ,07050
9,Bible Way Church of God in Christ,9736730505,http://biblewaynj.org/,Pastor Jeffrey Parks parjeffsan@aol.com, ,40.773391,-74.23012,26 N Essex Ave,Orange,NJ,07050
10,Boys & Girls Club of America,9737367712,http://www.bgca.org/Pages/index.aspx?lp=search&utm_source=google&utm_medium=cpc&utm_term=boys%20and%20girls%20of%20america&utm_campaign=grants,Jim Clark, ,40.785873,-74.233103,242 Main St,West Orange,NJ,07052
11,C-Town Supermarket ,9736722244,www.ctownsupermarket.com, 973.672.2244, ,40.772747,-74.228974,16-26 North Day Street,Orange,NJ,07050
12,Cantera Latina Restaurant,9733230001,http://www.canteralatinaorange.com/, , ,40.772641,-74.231689,350 Main St,Orange,NJ,07050
13,Church of Epiphany ,9736768886,www.christchurcheo.org,973 678-1160, ,40.770181,-74.223628,105 Main Street,Orange,NJ,07050
14,Church of Our Lady Mt. Carmel,9736742052,http://olmcorange.com/,973 674-2052 secolmc@gmail.com , ,40.768996,-74.230158,103 S Center St,Orange,NJ,07050
15,Church of the Oranges ,9736781951,http://cotosda.org,973-678-1951, ,40.763795,-74.235264,270 Reynolds Terrace ,Orange,NJ,07050
16,City of Orange Public Health ,9732664077,www.ci.orange.nj.us,Priscilla Webb pwebb@ci.orange.nj.us, ,40.773061,-74.229086,29 North Day Street Floor#3,Orange,NJ,07050
17,Community Day Nursery ,9736733710,http://www.cdneo.com/,info@cdneo.com, ,40.752967,-74.214618,115 S Munn Ave,East Orange,NJ,07018
18,Cotton Funeral Services,9736756400,http://cottonfuneralsvc.com/,mtc@cottonfuneralservice.com, ,40.769457,-74.224821,130 Main St,Orange,NJ,07050
19,CPNJ,9736743267,http://cpnj.org/about-us/,dbishop@cpnj.org, ,40.762572,-74.226353,26 North central Street,Orange,NJ,07018
20,Department of Community Service: Division of Recreation  ,9732664071,www.ci.orange.nj.us, , ,40.773061,-74.229086,29 North Day Street Floor#3,Orange,NJ,07050
21,Department of Public Works ,9732664030,www.ci.orange.nj.us,Marty Mayes 973 266-4030, ,40.773061,-74.229086,29 North Day Street Floor#2,Orange,NJ,07050
22,Disabled American Veterans of New Jersey ,9736733100,http://www.davnj.org/, , ,40.752661,-74.236114,385 Tremont Ave #143,East Orange,NJ,07018
23,Don Bosco Residence ,9736742400, ,Steve Demais 973-674-7500, ,40.764878,-74.24896,518 Valley St,Orange,NJ,07050
24,Easy Pickins ,9736768811, ,, ,40.772476,-74.229258,285 Main Street,Orange,NJ,07050
25,Essex Pediatrics,9736721212, ,Rosario Zambrano MD, ,40.768558,-74.219541,26 Baldwin Street,East Orange,NJ,07017
26,Family Connections,9736740172,http://www.familyconnectionsnj.org/ourprograms2.html, , ,40.75976,-74.227445,280 S Harrison St,East Orange,NJ,07018
27,Family Connections,9736753817,www.familyconnectionsnj.org,973 675-3817, ,40.761421,-74.234829,395 South Center Street,Orange,NJ,07050
28,Family Connections Administrative Office,9736753817,http://www.familyconnectionsnj.org,cryan@familyconnectionsnj.org, ,40.770499,-74.220189,7 Glenwood Ave Suite 101,East Orange,NJ,07017
29,Family Intervention Services ,9733247879,http://www.fisnj.org/, , ,40.764725,-74.221438,86 S Harrison St # A,East Orange,NJ,07018
30,Firehouse Gallery ,8622527035,http://www.valleyartsnj.com/firehouse/,info@valleyartsnj.com, ,40.765166,-74.247241,580 Forest St.,Orange,NJ,07940
31,First Unitarian Universalist Church of Essex County,9736740010,http://essexuu.org,Gregory Giacobe 9736740010, ,40.77428,-74.231412,35 Cleveland St.,Orange,NJ,07050
32,Gladiators Boxing & Barbells,9734169595,https://www.facebook.com/Gladiator-Boxing-BarBell-113291772029215/, ,  ,40.769379,-74.227736, Bldg #1 50 S Center St,Orange,NJ,07050
33,Golden Krust,9736727080,http://www.goldenkrustbakery.com/,, ,40.772559,-74.229839,303 Main St,Orange,NJ,07050
34,HANDS Inc.,9736783110,http://www.handsinc.org/home.html,info@handsinc.org, ,40.772299,-74.231588,15 S Essex Ave,Orange,NJ,07050
35,Harambee Family Academy,9736755000,http://www.harambeecdi.org/,Wendy Burkins 973-675-4411, ,40.772015,-74.217732,60 Glenwood Ave ,East Orange,NJ,07017
36,Hat City Kitchen ,8622529147,http://www.hatcitykitchen.com,862 252-9147,  ,40.76603,-74.248581,459 Valley Street ,Orange,NJ,07050
37,Health and Wellness Series ,9736774000,www.ocshealthcenter.org,Cilamene Joseph: 973-677-4000, ,40.765799,-74.225704,Oakwood Avenue School: 135 Oakwood Avenue ,Orange,NJ,07050
38,HomeCorp,9737444141,homecorp.org,Victoria Lindsey vlindsey@homecorp.org, ,40.803822,-74.213351,1 Woodland Ave,Montclair,NJ,07042
