religious,emergency food relief;counseling;educational;spiritual;youth activities,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
non-profit,substance abuse rehab;domestic violence prevention and support;advocacy,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents;essex county
non-profit,advocacy;counseling;legal services to immigrant populations,immigrant populations;families
non-profit,commercial art;youth activities;elderly/disabled,senior citizens;artitist;youth;children;disabled
non-profit,commerical art;educational,artitist;low-income residents;youth;children;parents
other,counseling;group and individual counseling;parenting skills class;tutoring;anger management;life skills coaching;self esteem building;art therapy,youth;children;parents
government agency,banking or finance services,senior citizens;artitist;immigrant populations;low-income residents;youth;parents
religious,spiritual;youth activities,senior citizens;immigrant populations;low-income residents;youth;children;parents
religious,spiritual,senior citizens;low-income residents;youth;children;parents
educational;non-profit,educational;youth activities,youth;children
economic,take out food,senior citizens;immigrant populations;low-income residents;youth;children;parents
other,take out food;sit-down restaurant,youth;parents
religious,emergency food relief;spiritual,senior citizens;immigrant populations;low-income residents;youth;children;parents
religious;non-profit,counseling;educational;spiritual;youth activities,senior citizens;immigrant populations;low-income residents;youth;parents
religious,educational;spiritual;youth activities,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
medical,health,senior citizens;immigrant populations;low-income residents;youth;children;parents
educational,domestic violence prevention and support;youth activities;freshly cooked meals for students;award winning violence prevention program,children
other,spiritual;assistance in mourning,senior citizens;immigrant populations
medical;non-profit,counseling;child-care;youth activities;health,senior citizens;youth;children;parents
recreational,advocacy;youth activities;senior activities ,senior citizens;immigrant populations;low-income residents;youth;children;parents
government agency,repair services;public development ,senior citizens;immigrant populations;low-income residents;parents
other,advocacy;disabled veteran assistance ,veterans 
religious;non-profit,emergency food relief;educational;spiritual;youth activities,youth;children
economic,clothing retail,women 
medical,health;medical ,youth;children;parents
non-profit,domestic violence prevention and support;advocacy;counseling;educational;youth activities,low-income residents;youth;children;parents;mentally ill/ those who suffer from addiction
non-profit,domestic violence prevention and support;advocacy;counseling;educational,senior citizens;youth;children;parents
medical;educational;non-profit,substance abuse rehab;counseling;health,youth;children;parents
non-profit,emergency food relief;advocacy;counseling;educational;child-care;case management/crisis intervention ,low-income residents;youth;children;parents
other,commerical art;youth activities,senior citizens;artitist;youth;parents
religious;non-profit,spiritual;currently restructuring,senior citizens;immigrant populations;low-income residents;youth;children;parents;members of congregation
other,educational;youth activities;health,youth;parents
other,take out food;sit-down restaurant,youth;parents
non-profit,housing,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
educational;non-profit,educational;youth activities,immigrant populations;youth;children
economic;other,sit-down restaurant,senior citizens;artitist;immigrant populations;low-income residents;youth;children;parents
medical,health,youth;children;will see siblings up to the age of 18 years old 
non-profit,housing,low-income residents
government agency,housing;emergency housing/housing assistance,low-income residents
non-profit,advocacy;counseling;educational,youth;parents
religious,educational;spiritual;child-care,immigrant populations;youth;children;spanish speaking perish 
